description,category
Work payment received,Salary
Flipkart order shoes,Shopping
Gas connection recharge,Utilities
Salary deposited in bank,Salary
Myntra clothing shopping,Shopping
Vegetable market purchase,Groceries
Salary deposited in bank,Salary
Electricity bill for June,Utilities
Paid water bill,Utilities
Monthly apartment rent payment,Rent
Vegetable market purchase,Groceries
Mobile postpaid bill payment,Utilities
DTH recharge Tata Sky,Utilities
Mobile postpaid bill payment,Utilities
Rent paid to landlord,Rent
Monthly apartment rent payment,Rent
Movie ticket booking,Others
Bus fare recharge,Transport
Movie ticket booking,Others
Paid rent for July,Rent
Transferred house rent,Rent
DTH recharge Tata Sky,Utilities
Dining at restaurant,Others
Myntra clothing shopping,Shopping
DTH recharge Tata Sky,Utilities
Transferred house rent,Rent
Salary deposited in bank,Salary
Supermarket shopping at Big Bazaar,Groceries
Bus fare recharge,Transport
Online shopping electronics,Shopping
Myntra clothing shopping,Shopping
EMI auto debit,Others
Bought groceries from D-Mart,Groceries
Amazon purchase headphones,Shopping
Myntra clothing shopping,Shopping
Flipkart order shoes,Shopping
Supermarket shopping at Big Bazaar,Groceries
Electricity bill for June,Utilities
Uber ride to airport,Transport
Amazon purchase headphones,Shopping
EMI auto debit,Others
Online shopping electronics,Shopping
Credited salary from employer,Salary
Medical expenses at clinic,Others
EMI auto debit,Others
Rent payment via UPI,Rent
Monthly salary credited,Salary
Medical expenses at clinic,Others
Work payment received,Salary
Received income from company,Salary
Myntra clothing shopping,Shopping
Credited salary from employer,Salary
Dining at restaurant,Others
Mobile postpaid bill payment,Utilities
Flipkart order shoes,Shopping
Salary deposited in bank,Salary
Train ticket booking,Transport
Myntra clothing shopping,Shopping
Paid water bill,Utilities
Transferred house rent,Rent
Work payment received,Salary
Salary deposited in bank,Salary
Monthly salary credited,Salary
Ola cab fare,Transport
Bus fare recharge,Transport
Rent paid to landlord,Rent
Amazon purchase headphones,Shopping
Salary deposited in bank,Salary
Paid water bill,Utilities
Salary deposited in bank,Salary
Amazon purchase headphones,Shopping
Petrol station refill,Transport
Supermarket shopping at Big Bazaar,Groceries
Donated to NGO,Others
Bought groceries from D-Mart,Groceries
Paid rent for July,Rent
DTH recharge Tata Sky,Utilities
Donated to NGO,Others
Amazon purchase headphones,Shopping
Rent paid to landlord,Rent
Vegetable market purchase,Groceries
EMI auto debit,Others
Flipkart order shoes,Shopping
Supermarket shopping at Big Bazaar,Groceries
DTH recharge Tata Sky,Utilities
Rent paid to landlord,Rent
Rent paid to landlord,Rent
Electricity bill for June,Utilities
Medical expenses at clinic,Others
Work payment received,Salary
Mobile postpaid bill payment,Utilities
Movie ticket booking,Others
Vegetable market purchase,Groceries
Vegetable market purchase,Groceries
Bought groceries from D-Mart,Groceries
Gas connection recharge,Utilities
Ola cab fare,Transport
Ola cab fare,Transport
Uber ride to airport,Transport
Bought gifts from mall,Shopping
Dining at restaurant,Others
Online shopping electronics,Shopping
Bought gifts from mall,Shopping
Monthly salary credited,Salary
Gas connection recharge,Utilities
Medical expenses at clinic,Others
Ola cab fare,Transport
Credited salary from employer,Salary
Petrol station refill,Transport
Myntra clothing shopping,Shopping
Monthly apartment rent payment,Rent
Work payment received,Salary
Mobile postpaid bill payment,Utilities
Dining at restaurant,Others
Monthly salary credited,Salary
Bought groceries from D-Mart,Groceries
Donated to NGO,Others
Bus fare recharge,Transport
Paid water bill,Utilities
Ola cab fare,Transport
Transferred house rent,Rent
Train ticket booking,Transport
Petrol station refill,Transport
Myntra clothing shopping,Shopping
Online shopping electronics,Shopping
Received income from company,Salary
Medical expenses at clinic,Others
Rent payment via UPI,Rent
Grocery delivery from Zepto,Groceries
Mobile postpaid bill payment,Utilities
Petrol station refill,Transport
Monthly apartment rent payment,Rent
Supermarket shopping at Big Bazaar,Groceries
Uber ride to airport,Transport
Uber ride to airport,Transport
Uber ride to airport,Transport
DTH recharge Tata Sky,Utilities
Dining at restaurant,Others
Petrol station refill,Transport
Transferred house rent,Rent
Train ticket booking,Transport
Amazon purchase headphones,Shopping
Vegetable market purchase,Groceries
Amazon purchase headphones,Shopping
Rent payment via UPI,Rent
Vegetable market purchase,Groceries
Dining at restaurant,Others
Bus fare recharge,Transport
Transferred house rent,Rent
Supermarket shopping at Big Bazaar,Groceries
Uber ride to airport,Transport
Grocery delivery from Zepto,Groceries
Movie ticket booking,Others
Supermarket shopping at Big Bazaar,Groceries
Purchased snacks and drinks,Groceries
Train ticket booking,Transport
Dining at restaurant,Others
Amazon purchase headphones,Shopping
Gas connection recharge,Utilities
Dining at restaurant,Others
Rent paid to landlord,Rent
Supermarket shopping at Big Bazaar,Groceries
Salary deposited in bank,Salary
Transferred house rent,Rent
Received income from company,Salary
Credited salary from employer,Salary
Credited salary from employer,Salary
Bought gifts from mall,Shopping
Vegetable market purchase,Groceries
Paid water bill,Utilities
Supermarket shopping at Big Bazaar,Groceries
Monthly apartment rent payment,Rent
Transferred house rent,Rent
Paid water bill,Utilities
Amazon purchase headphones,Shopping
Vegetable market purchase,Groceries
EMI auto debit,Others
Myntra clothing shopping,Shopping
Paid rent for July,Rent
Gas connection recharge,Utilities
Transferred house rent,Rent
Supermarket shopping at Big Bazaar,Groceries
Ola cab fare,Transport
Movie ticket booking,Others
EMI auto debit,Others
Salary deposited in bank,Salary
Rent payment via UPI,Rent
Electricity bill for June,Utilities
Donated to NGO,Others
Rent paid to landlord,Rent
Myntra clothing shopping,Shopping
Flipkart order shoes,Shopping
Gas connection recharge,Utilities
Flipkart order shoes,Shopping
Uber ride to airport,Transport
Mobile postpaid bill payment,Utilities
Paid rent for July,Rent
Work payment received,Salary
Rent payment via UPI,Rent
Grocery delivery from Zepto,Groceries
Transferred house rent,Rent
Movie ticket booking,Others
Bus fare recharge,Transport
Ola cab fare,Transport
Salary deposited in bank,Salary
Online shopping electronics,Shopping
Work payment received,Salary
Bought gifts from mall,Shopping
Purchased snacks and drinks,Groceries
Bus fare recharge,Transport
Salary deposited in bank,Salary
Credited salary from employer,Salary
Dining at restaurant,Others
DTH recharge Tata Sky,Utilities
Monthly salary credited,Salary
Medical expenses at clinic,Others
Bought groceries from D-Mart,Groceries
Credited salary from employer,Salary
Amazon purchase headphones,Shopping
Work payment received,Salary
Monthly apartment rent payment,Rent
Mobile postpaid bill payment,Utilities
Electricity bill for June,Utilities
Bought groceries from D-Mart,Groceries
Electricity bill for June,Utilities
Transferred house rent,Rent
Donated to NGO,Others
EMI auto debit,Others
Dining at restaurant,Others
Vegetable market purchase,Groceries
Bought groceries from D-Mart,Groceries
Bus fare recharge,Transport
Electricity bill for June,Utilities
Purchased snacks and drinks,Groceries
Rent payment via UPI,Rent
Paid rent for July,Rent
Train ticket booking,Transport
Petrol station refill,Transport
Mobile postpaid bill payment,Utilities
Bus fare recharge,Transport
Bought groceries from D-Mart,Groceries
Work payment received,Salary
Movie ticket booking,Others
Ola cab fare,Transport
Purchased snacks and drinks,Groceries
